# s, count
0.32895,1.74080
0.32964,1.65714
0.33033,1.56158
0.33102,1.45801
0.33171,1.35142
0.33240,1.24741
0.33309,1.15095
0.33378,1.06647
0.33447,0.99778
0.33517,0.94802
0.33586,0.92020
0.33655,0.91697
0.33724,0.94100
0.33793,0.99507
0.33862,1.08207
0.33931,1.20474
0.34000,1.36525
0.34069,1.56449
0.34138,1.80151
0.34207,2.07331
0.34276,2.37356
0.34345,2.69248
0.34414,3.01776
0.34483,3.33467
0.34553,3.62700
0.34622,3.87864
0.34691,4.07500
0.34760,4.20502
0.34829,4.26188
0.34898,4.24350
0.34967,4.15380
0.35036,4.00178
0.35105,3.80003
0.35174,3.56391
0.35243,3.30925
0.35312,3.05121
0.35381,2.80271
0.35450,2.57304
0.35520,2.36813
0.35589,2.19099
0.35658,2.04162
0.35727,1.91814
0.35796,1.81765
0.35865,1.73709
0.35934,1.67427
0.36003,1.62746
0.36072,1.59561
0.36141,1.57927
0.36210,1.58035
0.36279,1.60278
0.36348,1.65077
0.36417,1.73008
0.36486,1.84742
0.36556,2.00939
0.36625,2.22247
0.36694,2.49122
0.36763,2.81802
0.36832,3.20085
0.36901,3.63353
0.36970,4.10459
0.37039,4.59826
0.37108,5.09459
0.37177,5.57205
0.37246,6.01006
0.37315,6.38967
0.37384,6.69768
0.37453,6.92690
0.37523,7.07708
0.37592,7.15347
0.37661,7.16440
0.37730,7.12042
0.37799,7.03232
0.37868,6.90843
0.37937,6.75417
0.38006,6.57178
0.38075,6.36198
0.38144,6.12549
0.38213,5.86276
0.38282,5.57597
0.38351,5.27062
0.38420,4.95445
0.38489,4.63784
0.38559,4.32982
0.38628,4.03916
0.38697,3.77259
0.38766,3.53260
0.38835,3.31930
0.38904,3.13001
0.38973,2.96074
0.39042,2.80613
0.39111,2.66168
0.39180,2.52371
0.39249,2.39056
0.39318,2.26056
0.39387,2.13340
0.39456,2.01008
0.39526,1.88989
0.39595,1.77316
0.39664,1.65932
0.39733,1.54819
0.39802,1.43907
0.39871,1.33023
0.39940,1.22111
0.40009,1.11242
0.40078,1.00538
0.40147,0.90184
0.40216,0.80372
0.40285,0.71372
0.40354,0.63498
0.40423,0.56882
0.40492,0.51568
0.40562,0.47598
0.40631,0.44873
0.40700,0.43348
0.40769,0.42758
0.40838,0.42864
0.40907,0.43453
0.40976,0.44175
0.41045,0.44751
0.41114,0.44964
0.41183,0.44704
0.41252,0.43906
0.41321,0.42628
0.41390,0.41013
0.41459,0.39367
0.41529,0.37950
0.41598,0.37069
0.41667,0.37136
0.41736,0.38425
0.41805,0.41244
0.41874,0.45805
0.41943,0.52278
0.42012,0.60676
0.42081,0.70780
0.42150,0.82266
0.42219,0.94699
0.42288,1.07515
0.42357,1.20073
0.42426,1.31686
0.42495,1.41754
0.42565,1.49804
0.42634,1.55498
0.42703,1.58732
0.42772,1.59648
0.42841,1.58611
0.42910,1.56206
0.42979,1.53080
0.43048,1.49922
0.43117,1.47357
0.43186,1.45880
0.43255,1.45821
0.43324,1.47255
0.43393,1.50076
0.43462,1.53944
0.43532,1.58392
0.43601,1.62832
0.43670,1.66631
0.43739,1.69239
0.43808,1.70225
0.43877,1.69312
0.43946,1.66416
0.44015,1.61682
0.44084,1.55529
0.44153,1.48589
0.44222,1.41632
0.44291,1.35596
0.44360,1.31490
0.44429,1.30290
0.44498,1.32887
0.44568,1.40009
0.44637,1.52114
0.44706,1.69350
0.44775,1.91458
0.44844,2.17806
0.44913,2.47360
0.44982,2.78702
0.45051,3.10148
0.45120,3.39823
0.45189,3.65895
0.45258,3.86691
0.45327,4.00942
0.45396,4.07934
0.45465,4.07535
0.45535,4.00331
0.45604,3.87545
0.45673,3.71006
0.45742,3.52948
0.45811,3.35828
0.45880,3.22143
0.45949,3.14228
0.46018,3.13963
0.46087,3.22644
0.46156,3.40893
0.46225,3.68448
0.46294,4.04194
0.46363,4.46149
0.46432,4.91625
0.46502,5.37462
0.46571,5.80213
0.46640,6.16473
0.46709,6.43284
0.46778,6.58416
0.46847,6.60633
0.46916,6.49787
0.46985,6.26812
0.47054,5.93671
0.47123,5.53070
0.47192,5.08057
0.47261,4.61704
0.47330,4.16720
0.47399,3.75366
0.47468,3.39138
0.47538,3.08781
0.47607,2.84443
0.47676,2.65702
0.47745,2.51827
0.47814,2.41933
0.47883,2.35222
0.47952,2.31034
0.48021,2.28968
0.48090,2.28812
0.48159,2.30612
0.48228,2.34484
0.48297,2.40470
0.48366,2.48626
0.48435,2.58765
0.48505,2.70528
0.48574,2.83341
0.48643,2.96533
0.48712,3.09444
0.48781,3.21390
0.48850,3.31700
0.48919,3.39818
0.48988,3.45289
0.49057,3.47787
0.49126,3.47052
0.49195,3.42860
0.49264,3.35172
0.49333,3.24093
0.49402,3.09795
0.49471,2.92620
0.49541,2.72940
0.49610,2.51341
0.49679,2.28449
0.49748,2.04850
0.49817,1.81194
0.49886,1.58063
0.49955,1.35927
0.50024,1.15123
0.50093,0.95927
0.50162,0.78504
0.50231,0.62978
0.50300,0.49367
0.50369,0.37766
0.50438,0.28303
0.50508,0.21060
0.50577,0.16230
0.50646,0.13953
0.50715,0.14382
0.50784,0.17588
0.50853,0.23563
0.50922,0.32271
0.50991,0.43485
0.51060,0.56775
0.51129,0.71537
0.51198,0.87015
0.51267,1.02358
0.51336,1.16630
0.51405,1.28948
0.51474,1.38634
0.51544,1.45233
0.51613,1.48582
0.51682,1.48852
0.51751,1.46500
0.51820,1.42303
0.51889,1.37139
0.51958,1.31984
0.52027,1.27748
0.52096,1.25042
0.52165,1.24257
0.52234,1.25403
0.52303,1.28203
0.52372,1.32071
0.52441,1.36231
0.52511,1.39872
0.52580,1.42216
0.52649,1.42531
0.52718,1.40320
0.52787,1.35409
0.52856,1.27876
0.52925,1.18002
0.52994,1.06255
0.53063,0.93293
0.53132,0.79806
0.53201,0.66447
0.53270,0.53789
0.53339,0.42322
0.53408,0.32386
0.53477,0.24239
0.53547,0.18019
0.53616,0.13768
0.53685,0.11455
0.53754,0.11057
0.53823,0.12508
0.53892,0.15680
0.53961,0.20387
0.54030,0.26443
0.54099,0.33649
0.54168,0.41648
0.54237,0.50044
0.54306,0.58494
0.54375,0.66612
0.54444,0.74015
0.54514,0.80380
0.54583,0.85414
0.54652,0.88960
0.54721,0.90845
0.54790,0.91013
0.54859,0.89589
0.54928,0.86743
0.54997,0.82771
0.55066,0.78056
0.55135,0.73081
0.55204,0.68404
0.55273,0.64608
0.55342,0.62341
0.55411,0.62230
0.55480,0.64800
0.55550,0.70429
0.55619,0.79310
0.55688,0.91383
0.55757,1.06297
0.55826,1.23424
0.55895,1.41956
0.55964,1.60896
0.56033,1.79182
0.56102,1.95842
0.56171,2.10084
0.56240,2.21459
0.56309,2.29851
0.56378,2.35631
0.56447,2.39580
0.56517,2.42681
0.56586,2.46124
0.56655,2.51101
0.56724,2.58695
0.56793,2.69749
0.56862,2.84757
0.56931,3.03949
0.57000,3.27265
0.57069,3.54290
0.57138,3.84451
0.57207,4.17093
0.57276,4.51456
0.57345,4.86711
0.57414,5.21956
0.57483,5.56259
0.57553,5.88608
0.57622,6.17883
0.57691,6.42899
0.57760,6.62509
0.57829,6.75643
0.57898,6.81443
0.57967,6.79318
0.58036,6.69013
0.58105,6.50651
0.58174,6.24783
0.58243,5.92290
0.58312,5.54307
0.58381,5.12133
0.58450,4.67239
0.58520,4.21115
0.58589,3.75125
0.58658,3.30511
0.58727,2.88346
0.58796,2.49473
0.58865,2.14455
0.58934,1.83623
0.59003,1.57038
0.59072,1.34612
0.59141,1.16039
0.59210,1.00958
0.59279,0.89026
0.59348,0.79877
0.59417,0.73267
0.59486,0.69003
0.59556,0.66961
0.59625,0.67047
0.59694,0.69167
0.59763,0.73237
0.59832,0.79091
0.59901,0.86428
0.59970,0.94850
0.60039,1.03866
0.60108,1.12934
0.60177,1.21478
0.60246,1.28944
0.60315,1.34954
0.60384,1.39289
0.60453,1.41893
0.60523,1.42932
0.60592,1.42721
0.60661,1.41816
0.60730,1.40869
0.60799,1.40634
0.60868,1.41985
0.60937,1.45758
0.61006,1.52775
0.61075,1.63767
0.61144,1.79373
0.61213,2.00025
0.61282,2.25892
0.61351,2.56805
0.61420,2.92256
0.61489,3.31258
0.61559,3.72356
0.61628,4.13774
0.61697,4.53377
0.61766,4.88937
0.61835,5.18263
0.61904,5.39482
0.61973,5.51270
0.62042,5.52898
0.62111,5.44330
0.62180,5.26242
0.62249,4.99925
0.62318,4.67140
0.62387,4.29885
0.62456,3.90190
0.62526,3.50005
0.62595,3.11015
0.62664,2.74483
0.62733,2.41270
0.62802,2.11763
0.62871,1.86051
0.62940,1.63899
0.63009,1.44856
0.63078,1.28435
0.63147,1.14114
0.63216,1.01427
0.63285,0.89998
0.63354,0.79597
0.63423,0.70112
0.63492,0.61545
0.63562,0.53945
0.63631,0.47451
0.63700,0.42205
